"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
3574,13,12,11,117,41.36,28.96,3.77,8.45,82.53,76,51,71,322,639,3
1722,13,14,7,117,15.68,12.76,3.79,3.29,35.52,82,73,74,709,639,3
3576,13,15,11,117,15.61,10.93,3.28,2.95,32.77,80,73,71,192,639,3
2149,3,12,5,117,11.28,9.14,6.5,2.88,29.8,89,65,76,431,639,3
3572,13,12,4,117,13.96,9.18,2.93,2.84,28.92,58,41,57,129,639,3
2152,13,15,5,117,14.44,6.94,4.7,2.24,28.32,87,80,75,594,639,3
1721,3,11,7,117,9.71,7.47,4.13,1.9,23.21,91,64,77,464,639,3
3566,13,13,11,117,8.92,8.03,3.6,2.15,22.7,80,63,68,146,639,3
1514,15,16,4,103,15,4.89,0.24,1.69,21.81,61,45,54,106,382,3
3567,13,15,11,117,9.01,8.49,2.53,1.77,21.79,80,33,65,52,639,3
1252,9,19,1,167,7.02,9.09,0.98,3.96,21.04,97,50,73,3994,775,6
1255,8,10,1,167,9.43,0.4,0.41,10.57,20.81,95,80,81,1588,775,6
340,3,11,4,117,4.74,9.2,4.16,2.04,20.15,77,58,70,50,639,3
1252,15,19,1,167,9.66,5.14,0.06,1.41,16.27,97,58,72,3711,775,6
1256,8,8,1,167,8.41,5.49,0.47,1.78,16.15,95,62,78,730,775,6
338,3,11,6,117,3.43,5.35,5.32,1.18,15.29,77,37,62,19,639,3
1241,8,7,7,150,6.85,5.09,1.87,1.16,14.98,95,54,75,314,708,3
408,15,17,9,6,9.04,4.24,0.13,1.32,14.73,88,81,25,8713,458,6
402,15,16,9,6,9.7,3.68,0.11,1.13,14.61,87,89,54,1454,973,6
403,9,18,9,6,4.99,5.73,0.65,2.42,13.79,83,21,44,922,973,6
403,15,18,9,6,8.25,4.24,0.07,1.12,13.67,83,73,39,2256,973,6
407,15,15,9,6,8.52,3.59,0.08,1.28,13.47,94,100,54,2698,457,6
408,9,17,9,6,5.54,5.73,0.49,1.57,13.32,88,39,23,5234,458,6
1250,8,7,1,167,6.99,4.51,0.3,1.3,13.1,97,56,76,664,263,6
3031,13,14,3,117,6.62,2.55,2.66,1.01,12.84,93,81,80,1662,359,7
1719,1,17,7,117,5.03,4.02,2.69,0.91,12.66,85,73,73,632,767,3
402,9,16,9,6,5.99,4.37,0.48,1.79,12.63,88,58,55,1094,973,6
1252,10,20,1,167,3.96,6.31,0.38,1.97,12.61,97,66,74,2899,775,6
106,3,11,10,117,2.5,3.45,5.33,0.86,12.13,86,57,78,242,639,3
1314,15,13,9,103,7.97,2.81,0.13,1.21,12.12,94,86,69,4100,160,6
1242,8,10,7,150,3.01,0.01,1.1,7.53,11.66,89,74,76,272,708,3
3013,13,13,5,117,6.06,3.35,1.2,0.74,11.35,97,73,80,2147,639,3
1251,15,14,1,167,6.76,3.07,0.14,1.03,11.01,98,86,70,2951,775,6
1239,7,3,7,150,4.02,3.87,2.54,0.52,10.95,96,16,78,138,708,3
3010,1,17,5,117,4.89,3,2.14,0.78,10.81,90,82,75,921,639,3
1243,9,16,7,150,2.96,4.82,0.81,2.11,10.7,84,82,66,1112,708,3
407,9,15,9,6,4.99,3.64,0.38,1.6,10.6,94,67,54,2073,457,6
1251,9,14,1,167,4.76,3.69,0.44,1.61,10.5,98,64,66,2833,775,6
405,15,19,9,6,6.73,2.56,0.04,0.91,10.25,73,29,17,2117,457,6
1488,13,17,4,182,5.95,3.11,0,1.06,10.12,74,15,69,16,987,4
2150,1,18,5,117,3.66,3.14,2.47,0.63,9.9,78,70,63,424,639,3
1321,15,16,9,103,7.04,1.95,0.08,0.79,9.86,91,99,70,2045,158,6
1076,7,3,8,150,3.01,2.47,3.28,0.96,9.72,92,20,83,1282,883,7
1316,15,18,9,103,6.65,2.28,0.04,0.74,9.71,87,87,61,3260,10,6
1240,7,5,7,150,3.88,3.42,1.69,0.5,9.49,93,23,81,135,708,7
1484,13,16,4,182,5.8,2.85,0.01,0.78,9.44,74,24,64,24,987,4
405,9,19,9,6,4.1,3.63,0.38,1.25,9.36,71,10,17,1047,457,6
399,15,13,9,6,5.93,2.36,0.13,0.9,9.31,94,70,75,1320,457,6
105,1,18,10,117,2.03,2.36,4.39,0.39,9.16,88,70,78,626,639,3
1732,3,13,4,117,4.4,1.85,1.98,0.68,8.91,72,27,69,85,430,3
3153,15,17,8,20,5.05,2.79,0.1,0.85,8.79,96,89,75,3589,105,6
1027,10,21,11,43,1.12,6.12,0.06,1.28,8.57,82,42,34,896,287,3
1312,16,10,9,103,6.82,1.53,0.05,0.08,8.49,95,91,73,1218,159,6
3570,13,16,4,117,1.75,3.47,2.49,0.67,8.38,68,42,65,54,620,3
1729,13,13,4,117,3.74,2.24,1.58,0.7,8.27,62,41,54,190,428,3
1037,9,18,1,43,1.06,5.01,0.13,1.97,8.16,88,37,57,348,305,3
1078,8,7,8,150,2.91,2.07,2.73,0.33,8.05,92,53,78,1056,883,7
3251,6,15,10,43,0.99,6.42,0,0.6,8.01,86,75,67,886,951,7
1077,7,5,8,160,2.28,1.72,3.63,0.23,7.86,90,24,77,644,883,7
2366,3,14,8,117,2.76,1.72,2.69,0.54,7.72,83,46,76,203,362,3
1254,11,11,1,167,2.9,2.81,0.24,1.73,7.69,88,65,67,451,773,6
401,10,20,9,6,2.81,3.48,0.14,1.23,7.66,83,39,48,1443,850,6
1028,10,22,11,43,0.66,5.75,0.08,1.11,7.59,85,41,41,398,290,3
3014,13,16,5,117,3.56,2.35,0.98,0.62,7.51,97,87,82,1854,640,3
410,15,14,9,6,4.81,1.88,0,0.69,7.38,84,84,67,580,973,6
236,15,17,9,43,4.46,2.11,0.06,0.69,7.32,84,57,65,2142,278,6
2126,8,9,7,43,3.27,2.83,0.08,1.02,7.2,85,33,77,171,271,3
1483,13,15,4,182,3.48,2.99,0,0.73,7.2,49,21,71,110,995,4
236,9,17,9,43,2.85,2.89,0.35,1.08,7.17,85,38,66,1761,278,6
992,10,21,8,20,2.53,3.27,0.24,1.13,7.16,87,58,56,4228,105,6
3092,7,4,3,150,3.27,2.22,1.4,0.29,7.16,96,15,82,367,608,7
3209,13,12,1,117,3.74,2.14,0.6,0.68,7.15,95,73,81,1658,639,7
531,7,4,5,150,3.68,1.75,1.42,0.28,7.13,91,12,80,432,616,3
1720,14,20,7,117,3.15,2.15,1.28,0.51,7.09,88,82,82,1599,639,3
3032,5,7,3,117,4.41,1.04,1.39,0.22,7.07,92,38,82,568,400,7
2127,8,10,7,43,2.71,3.02,0.08,1.09,6.9,82,39,77,132,273,3
1776,8,8,9,43,2.93,2.75,0.17,0.99,6.83,88,29,76,135,281,7
1489,13,18,4,182,4.05,2.16,0,0.55,6.76,74,10,64,28,987,4
1191,15,14,9,103,4.15,1.9,0.06,0.64,6.75,93,90,68,2739,311,6
3466,9,17,1,150,2.77,2.75,0.19,1.03,6.74,92,97,74,3712,616,7
399,9,13,9,6,3.11,2.26,0.28,1.03,6.68,94,44,75,993,457,6
3465,9,15,1,150,3.27,2.2,0.21,0.98,6.66,96,105,79,5187,616,7
262,3,11,4,117,1.66,2.75,1.6,0.62,6.62,74,45,65,27,639,3
2491,9,16,1,167,2.79,2.53,0.17,0.99,6.49,95,73,79,2456,776,6
1025,9,19,11,43,0.78,4.24,0.07,1.37,6.47,86,37,34,576,273,3
161,9,18,1,182,2.64,2.52,0.16,1.12,6.45,85,41,60,1307,987,6
770,13,16,5,117,3.17,1.79,1.03,0.46,6.44,87,77,77,368,766,3
1319,16,7,9,103,4.98,1.3,0.08,0.07,6.43,97,68,77,1283,159,6
3153,9,17,8,20,2.55,2.6,0.25,1,6.41,92,16,55,2527,105,6
2362,4,10,8,117,2.57,1.58,2.06,0.21,6.41,76,28,81,222,362,3
1527,8,8,8,150,3.64,1.2,1.49,0.07,6.4,85,46,79,597,883,3
1315,15,15,9,103,4.34,1.34,0.06,0.61,6.34,83,94,62,1163,160,6
2491,15,16,1,167,3.7,1.95,0.09,0.58,6.32,95,96,81,2316,776,6
3017,5,8,5,117,4.01,1.26,0.87,0.17,6.31,92,61,77,439,639,3
3608,6,10,8,6,0.08,6.21,0,0,6.29,93,57,64,2182,130,7
843,7,5,1,63,3.11,2.8,0.02,0.33,6.27,87,22,72,78,759,7
1192,15,17,9,103,4.05,1.59,0.07,0.5,6.21,91,96,69,1504,311,6
1517,15,16,11,103,3.92,1.73,0.03,0.51,6.19,73,51,65,95,734,4
1190,15,12,9,103,3.54,1.88,0.07,0.6,6.09,94,88,74,2295,311,6
1026,10,20,11,43,0.8,4.33,0.05,0.9,6.08,82,47,48,988,287,3
1815,8,7,1,91,2.45,2.01,0.87,0.72,6.05,96,42,78,1026,499,6
1814,7,4,1,91,3.18,1.83,0.78,0.24,6.03,94,20,85,918,499,6
1819,9,14,1,91,2.63,1.71,0.83,0.82,5.99,94,82,78,3558,511,6
1085,8,12,8,158,1.88,0,2.33,1.74,5.95,92,64,67,972,878,7
3186,9,19,1,152,2.41,2.18,0.28,0.99,5.87,95,98,82,8003,616,6
1625,9,14,5,150,2.8,1.98,0.17,0.87,5.82,95,85,59,5311,805,3
2505,7,4,1,189,1.88,1.47,2.02,0.45,5.82,89,13,83,364,165,6
823,3,15,8,117,0.63,0.67,4.35,0.15,5.78,87,65,79,197,529,4
3091,7,2,3,150,2.26,1.89,1.36,0.23,5.74,89,8,80,102,608,7
674,10,20,9,6,2.49,2.07,0.16,0.92,5.64,76,95,52,5380,160,7
1606,13,13,1,94,3.57,1.55,0,0.51,5.64,80,17,80,62,971,4
516,3,12,10,2,3.07,1.91,0.07,0.57,5.63,67,35,63,21,914,3
159,9,15,1,182,2.54,1.93,0.21,0.86,5.55,91,70,77,1202,994,6
158,15,13,2,182,3.28,1.64,0.07,0.56,5.54,81,77,68,1074,994,6
1137,15,15,7,103,2.99,1.9,0.1,0.5,5.49,92,90,71,516,984,3
3012,4,7,5,117,3.14,1.24,0.91,0.2,5.49,84,19,69,41,639,3
1910,11,14,8,26,0.47,0.55,4.13,0.34,5.48,81,48,78,124,165,7
218,9,17,1,193,2.71,1.85,0.11,0.81,5.48,96,42,77,2162,782,7
1252,17,20,1,167,2.81,2.19,0,0.47,5.48,97,14,70,764,775,6
1723,4,7,7,117,2.62,1.64,0.99,0.23,5.47,93,24,74,108,463,3
534,8,7,5,184,2.07,2.29,0.24,0.82,5.42,66,22,62,156,971,3
410,9,14,9,6,2.73,1.83,0,0.83,5.39,85,45,67,409,973,6
3467,10,22,9,150,1.85,2.5,0.19,0.85,5.38,93,113,70,7064,616,7
1087,9,15,8,158,1.74,1.21,1.87,0.51,5.33,83,83,64,2483,878,7
1069,7,6,8,160,1.62,0.77,2.78,0.14,5.3,94,22,80,779,883,7
161,15,18,1,182,3.13,1.69,0.03,0.44,5.29,84,61,58,1196,987,6
1079,8,9,8,43,1.92,1.08,2.11,0.17,5.29,85,45,57,400,883,7
401,17,20,9,6,3.22,1.55,0.01,0.48,5.27,81,53,45,898,850,6
159,15,15,1,182,3.11,1.55,0.08,0.51,5.26,90,82,79,1305,994,6
1686,8,23,11,43,4.26,0.26,0.01,0.71,5.23,94,29,76,140,291,3
2151,14,18,5,117,2.3,1.34,1.27,0.32,5.22,84,70,72,733,639,3
829,8,10,8,158,0.65,0.75,3.61,0.2,5.21,89,63,79,245,529,7
2412,3,13,6,117,1.21,2.43,1.03,0.52,5.19,85,72,77,147,529,3
1037,15,18,1,43,1.09,3.47,0.03,0.57,5.16,90,48,52,403,305,3
692,6,18,8,6,2.44,2.16,0,0.54,5.14,88,86,31,9629,130,6
1778,8,9,9,43,1.98,2.23,0.13,0.8,5.13,68,30,67,100,281,7
1290,8,12,4,138,3.81,0.63,0,0.68,5.12,92,69,76,112,405,7
985,15,16,8,103,3.59,1.08,0.05,0.38,5.1,80,88,56,604,534,6
2507,9,15,1,26,1.96,1.41,1.08,0.64,5.09,84,76,66,667,165,6
3203,3,13,1,117,1.85,1.8,0.95,0.48,5.08,90,57,71,416,639,3
1036,9,16,11,43,0.61,3.28,0.06,1.12,5.07,89,51,71,233,287,3
2503,7,2,1,189,2.05,1.16,1.11,0.73,5.05,91,8,81,266,165,6
1257,11,12,1,167,1.7,1.99,0.16,1.18,5.03,86,50,71,150,773,6
3372,7,5,11,6,3.42,1.38,0.02,0.2,5.02,92,18,83,69,628,7
1291,8,13,4,6,3.49,0.01,0.01,1.48,4.98,82,24,73,46,629,7
1618,13,13,9,117,3.05,1.17,0.29,0.46,4.98,68,34,62,47,639,7
991,15,14,8,20,3.4,0.99,0.09,0.45,4.93,93,84,76,1655,105,6
3468,9,13,1,150,2.31,1.72,0.12,0.77,4.92,88,66,72,2306,617,7
1671,8,11,11,43,3.98,0.26,0.01,0.66,4.91,88,29,71,121,287,3
2961,6,16,12,6,2.57,1.68,0,0.58,4.84,93,82,73,3052,130,7
158,9,13,2,182,1.91,2,0.09,0.82,4.82,81,40,64,769,994,6
1220,9,16,1,150,2.74,1.33,0.12,0.61,4.8,92,101,78,2633,803,6
539,7,5,7,150,2.57,1.57,0.44,0.21,4.79,88,20,81,233,616,3
1606,3,13,1,94,2.83,1.48,0,0.45,4.76,80,9,45,46,982,3
845,7,6,1,16,2.36,2.1,0.02,0.25,4.73,62,14,68,92,759,7
218,15,17,1,193,2.99,1.27,0.04,0.42,4.73,94,87,78,1472,782,7
3373,7,6,11,6,3.05,1.41,0.02,0.2,4.68,98,19,68,299,628,7
3218,8,8,1,43,1.94,1.95,0.08,0.7,4.67,82,32,73,78,891,7
3363,7,2,1,42,2.29,1.97,0.13,0.24,4.63,91,13,77,147,203,7
103,13,14,10,117,1.82,1.12,1.32,0.36,4.62,73,50,67,119,639,3
3470,10,21,1,150,2.07,1.71,0.08,0.76,4.62,86,78,72,1264,141,7
3207,5,8,1,117,2.6,0.99,0.89,0.13,4.6,96,80,80,968,639,3
1291,13,13,4,6,3.04,1.11,0,0.43,4.6,86,36,75,87,1020,7
1655,1,19,1,117,1.8,1.39,1.11,0.29,4.59,86,74,75,458,634,3
1138,15,17,7,103,2.08,1.97,0.06,0.46,4.57,91,83,73,617,984,3
1687,8,10,11,43,4.18,0.26,0.01,0.08,4.53,91,30,70,78,291,3
1291,15,13,4,6,3.19,0.91,0.01,0.42,4.53,85,69,70,165,628,7
1672,8,12,11,43,3.63,0.24,0.01,0.61,4.49,84,29,73,39,287,3
1317,17,21,9,103,2.78,1.27,0.03,0.41,4.48,84,101,55,2438,10,7
2878,8,8,1,6,2.71,1.51,0.03,0.23,4.48,76,25,70,41,973,3
406,10,22,9,6,1.61,2,0.15,0.71,4.46,77,82,25,1129,457,6
1217,8,11,1,150,2.71,1.29,0.02,0.43,4.45,94,75,80,997,803,6
2883,14,21,9,117,1.54,1.18,1.46,0.26,4.43,81,88,76,1184,639,4
2221,14,18,4,117,2.52,1.11,0.46,0.33,4.42,77,61,70,471,639,4
3375,8,7,11,6,2.66,1.29,0.01,0.46,4.41,97,34,66,298,628,7
3584,8,12,11,91,0.1,2.39,1.05,0.86,4.39,86,19,80,33,513,3
3151,15,12,8,167,2.82,1.03,0.13,0.4,4.38,94,90,78,1109,106,6
2132,8,11,7,43,2.03,1.79,0.08,0.47,4.37,82,36,82,137,273,7
1848,13,16,4,182,2.64,1.33,0.01,0.39,4.36,56,37,74,31,996,4
2525,9,12,9,150,1.74,1.72,0.14,0.75,4.34,86,70,72,715,462,6
1530,8,11,8,158,2.2,0.58,1.38,0.17,4.33,87,64,81,766,878,4
3011,14,19,5,117,2.11,1.16,0.73,0.32,4.32,93,83,81,1607,639,3
984,15,14,8,103,2.51,1.24,0.11,0.41,4.27,89,95,56,2423,534,6
1989,4,7,4,112,3,1.11,0.05,0.07,4.24,79,10,64,6,564,3
217,9,15,1,42,2.24,1.31,0.07,0.61,4.23,91,70,80,1122,782,7
1817,8,10,1,91,1.46,0,0.83,1.93,4.23,91,68,84,955,499,6
168,9,17,1,182,1.41,2.01,0.1,0.7,4.22,80,39,66,613,994,6
992,17,21,8,20,2.51,1.32,0.01,0.38,4.22,88,39,53,1749,105,6
1025,15,19,11,43,0.92,2.89,0.01,0.4,4.22,84,41,33,435,273,3
617,11,12,5,150,2.45,1.01,0,0.75,4.21,85,59,78,109,742,4
1031,8,11,11,43,0.78,2.55,0.04,0.84,4.21,80,32,69,47,273,3
960,8,9,4,150,0.88,2.3,0.2,0.83,4.2,80,32,66,22,815,3
1244,9,13,7,150,1.28,1.82,0.57,0.52,4.19,80,67,62,120,708,3
168,15,17,1,182,2.25,1.47,0.04,0.43,4.19,80,77,63,564,994,6
2979,9,15,3,26,2.03,1.04,0.58,0.52,4.16,94,61,64,330,165,7
1685,8,8,11,43,3.36,0.21,0.01,0.56,4.14,95,25,68,65,287,3
1309,6,3,9,190,4.03,0,0.09,0,4.12,96,24,82,3161,1013,6
3612,6,13,8,6,2.57,1.52,0,0,4.09,91,46,70,785,130,7
233,10,22,9,43,1.1,2.15,0.21,0.61,4.08,88,31,75,809,278,6
1219,8,13,1,150,2.32,0.04,0.04,1.67,4.07,93,70,80,709,803,6
993,15,16,8,20,2.66,1.03,0.04,0.33,4.05,84,81,72,769,658,6
1136,15,13,7,103,2.35,1.27,0.03,0.41,4.05,90,66,74,381,984,3
423,13,13,4,167,2.12,1.47,0.05,0.42,4.05,56,27,51,44,171,3
3550,10,20,1,182,1.4,1.9,0.11,0.64,4.05,80,80,54,2996,994,6
3098,8,6,3,112,1.68,1.51,0.51,0.35,4.05,85,25,76,117,608,7
1006,10,20,9,182,1.13,2.18,0.1,0.63,4.04,85,83,68,1653,994,6
1577,15,15,9,43,2.67,0.87,0.05,0.38,3.97,89,76,77,681,1013,6
3286,10,21,8,112,1.02,2.13,0.23,0.59,3.97,92,79,83,10179,177,6
170,10,20,1,182,1.19,2.07,0.08,0.62,3.96,70,40,40,2050,1007,6
219,10,21,1,193,1.53,1.69,0.1,0.64,3.95,87,89,67,2679,782,6
3204,13,17,1,117,2.03,1.16,0.37,0.38,3.95,93,81,71,1958,639,4
991,9,14,8,20,2.15,1.13,0.07,0.59,3.94,90,57,71,910,105,6
2413,3,13,6,117,0.9,1.76,0.92,0.37,3.94,84,65,79,72,529,4
887,13,15,11,43,2.09,1.35,0.06,0.4,3.9,81,27,78,39,273,3
3380,8,9,11,6,2.29,1.17,0.01,0.42,3.9,90,38,78,121,628,7
1907,1,20,8,117,0.68,0.48,2.62,0.11,3.89,86,80,78,348,165,7
3153,6,17,8,20,1.16,2.12,0,0.6,3.88,94,32,72,9073,105,6
2059,10,21,11,167,2.49,0.66,0.03,0.69,3.88,87,51,58,364,1029,4
3095,8,11,3,112,0.93,1.94,0.31,0.7,3.87,88,62,77,229,608,7
1945,9,12,7,150,1.53,1.6,0.06,0.67,3.87,84,9,65,220,321,7
3622,8,10,11,91,0.16,1.89,1.12,0.68,3.85,91,26,82,38,502,3
2896,9,16,11,150,2.13,1.12,0.1,0.5,3.84,76,64,70,104,812,4
405,10,19,9,6,1.78,1.43,0.05,0.57,3.83,78,49,28,1564,457,6
1106,3,13,4,117,0.86,1.56,1.05,0.35,3.83,59,22,31,4,644,3
3362,10,22,9,182,1.35,1.7,0.15,0.6,3.8,80,64,61,2219,565,6
263,13,13,4,117,1.05,1.91,0.41,0.42,3.79,68,33,60,39,639,3
1597,15,14,1,6,2.4,1.01,0,0.36,3.76,77,60,66,66,971,4
3267,6,8,10,43,2.03,1.56,0,0.17,3.76,79,21,71,29,569,7
1334,7,7,1,43,1.37,2,0.14,0.22,3.73,64,11,66,41,61,3
3025,13,13,5,117,1.95,0.86,0.59,0.31,3.71,85,56,70,417,463,3
2909,7,6,5,150,1.93,1.58,0,0.19,3.71,91,15,79,207,462,3
163,9,19,1,182,1.33,1.68,0.13,0.57,3.71,88,36,72,840,987,6
1041,8,10,11,43,0.58,2.48,0.04,0.59,3.7,81,27,67,56,273,3
3376,8,8,11,6,2.13,1.18,0.01,0.35,3.67,94,27,76,128,628,7
1977,3,13,10,43,1.58,1.59,0.08,0.41,3.66,67,15,64,13,966,3
1852,11,11,7,167,1.65,1.21,0,0.79,3.65,74,34,75,31,773,4
2803,8,8,9,150,2.53,0.81,0.06,0.24,3.65,82,42,70,82,1064,6
1450,8,7,5,150,2.08,1.09,0.15,0.33,3.64,90,35,78,312,616,3
2399,8,13,11,91,0.05,0,0.64,2.93,3.63,82,10,70,38,513,3
2506,8,11,1,26,2.08,0.83,0.46,0.25,3.62,96,38,80,1013,165,6
1301,13,14,4,6,2.32,0.96,0,0.34,3.62,86,18,67,71,1020,7
1035,9,15,11,43,0.6,2.45,0.05,0.52,3.62,91,56,67,203,287,3
2943,8,10,9,94,1.93,1.22,0.03,0.44,3.61,82,36,78,142,680,7
3242,8,7,7,43,2.02,1.17,0,0.42,3.61,64,23,68,32,340,7
1654,5,7,1,117,2.38,0.67,0.46,0.1,3.6,78,34,76,161,639,3
237,10,19,9,43,1.35,1.55,0.17,0.51,3.59,85,18,60,1580,278,6
2944,8,11,9,94,2.18,1.02,0.03,0.37,3.59,84,30,81,268,680,7
517,3,13,10,2,1.6,1.49,0.1,0.39,3.58,70,39,71,9,661,3
1254,8,12,1,167,1.56,1.4,0.07,0.5,3.54,78,49,69,112,773,6
3158,8,8,1,150,1.23,1.77,0.05,0.49,3.54,72,49,59,88,932,6
1453,8,7,9,43,1.9,1.13,0.1,0.41,3.53,72,27,70,48,283,7
1036,15,16,11,43,0.71,2.39,0.02,0.4,3.52,88,66,66,155,287,3
1576,15,14,9,43,2.66,0.49,0.05,0.3,3.51,89,67,70,1309,178,6
170,17,20,1,182,2.27,0.9,0,0.33,3.5,72,59,32,1005,1007,6
2507,15,15,1,26,2.11,0.93,0.12,0.34,3.5,83,91,66,523,165,6
167,15,16,1,182,2.85,0.38,0.03,0.24,3.49,89,81,74,693,994,6
1040,8,23,11,43,0.59,2.36,0.04,0.51,3.49,84,20,55,76,273,3
237,9,19,9,43,1.3,1.42,0.27,0.5,3.49,80,14,49,579,278,6
217,15,15,1,42,2.2,0.95,0.02,0.31,3.48,92,78,78,1080,782,7
237,15,19,9,43,2.15,1.01,0.02,0.31,3.48,79,21,47,542,278,6
239,15,16,9,43,2.1,1.01,0.04,0.32,3.47,88,75,77,869,278,6
1296,3,14,4,6,2.1,1.01,0.01,0.35,3.46,71,70,79,29,1020,4
483,3,12,4,117,0.59,1.79,0.73,0.34,3.45,83,30,75,28,35,3
333,15,15,9,167,2.4,0.71,0.03,0.29,3.44,84,83,73,715,371,6
3094,8,8,3,112,1.55,1.27,0.33,0.29,3.44,79,23,74,126,608,7
1249,7,4,1,167,1.13,2.07,0,0.22,3.42,70,15,71,67,263,7
1821,10,21,1,91,1.09,1.36,0.49,0.48,3.41,93,86,73,3943,512,6
2870,8,10,1,6,1.75,1.2,0.02,0.43,3.41,80,50,80,106,973,7
1039,8,8,11,43,0.46,2.28,0.05,0.61,3.4,88,15,58,35,273,3
1626,9,17,5,150,1.83,1.05,0.06,0.46,3.39,91,86,75,657,570,3
535,7,6,4,150,1.56,1.47,0.19,0.17,3.39,68,12,73,99,318,3
164,10,21,1,182,0.81,1.99,0.07,0.52,3.39,76,86,59,1319,997,6
1588,15,14,1,193,2.04,1.02,0,0.32,3.38,76,49,70,75,971,4
674,17,20,9,6,2.14,0.92,0,0.31,3.37,75,11,46,1735,160,7
1005,9,18,9,182,0.88,1.7,0.1,0.67,3.35,90,32,76,1041,994,6
1456,8,8,9,43,1.45,1.29,0.12,0.46,3.33,77,20,76,66,318,7
2933,8,11,1,94,1.47,1.39,0.03,0.43,3.32,60,34,63,82,266,7
