"gre_score","toefl_score","uni_rating","sop","lor","sgpa","admission_chance"
337,118,4,4.5,4.5,9.65,NA
324,107,4,4,4.5,8.87,0.76
316,104,3,3,3.5,8,0.72
322,NA,3,3.5,2.5,8.67,0.8
314,103,2,2,3,8.21,0.65
330,115,5,NA,3,NA,0.9
NA,109,NA,3,4,8.2,NA
308,101,2,3,4,7.9,0.68
302,102,1,2,1.5,8,0.5
323,108,3,3.5,3,8.6,0.45
325,106,3,3.5,4,8.4,0.52
NA,NA,4,4,4.5,9,NA
328,112,4,4,4.5,9.1,0.78
307,109,NA,4,3,8,0.62
311,104,3,3.5,2,8.2,0.61
314,105,3,3.5,2.5,8.3,0.54
317,107,3,4,3,8.7,0.66
319,106,3,4,3,8,0.65
318,110,3,4,3,8.8,0.63
303,102,3,3.5,NA,8.5,0.62
312,NA,3,NA,2,7.9,0.64
325,114,4,3,2,8.4,0.7
NA,116,5,5,5,9.5,0.94
334,119,5,5,4.5,9.7,0.95
336,119,5,4,3.5,9.8,0.97
NA,120,5,4.5,4.5,9.6,0.94
322,109,5,4.5,3.5,8.8,0.76
298,98,2,1.5,2.5,7.5,0.44
295,93,1,2,2,7.2,0.46
310,99,NA,1.5,2,7.3,0.54
300,97,2,3,3,8.1,0.65
327,103,3,4,4,8.3,0.74
338,118,4,3,4.5,9.4,NA
340,114,5,NA,4,NA,0.9
331,NA,5,4,5,9.8,0.94
320,110,5,5,5,9.2,0.88
299,106,2,4,4,NA,0.64
300,105,1,1,2,7.8,0.58
304,105,NA,3,1.5,7.5,0.52
307,108,2,4,3.5,NA,0.48
NA,110,3,NA,3,8,0.46
316,105,2,2.5,2.5,8.2,0.49
NA,107,2,2.5,2,NA,0.53
332,117,4,4.5,4,9.1,0.87
326,113,5,4.5,4,9.4,0.91
322,110,5,5,4,9.1,0.88
329,NA,5,4,5,9.3,0.86
339,119,5,4.5,4,9.7,0.89
321,110,3,3.5,5,8.85,0.82
327,111,NA,NA,4,8.4,0.78
313,98,3,2.5,4.5,8.3,0.76
312,100,NA,1.5,3.5,NA,0.56
334,116,4,4,3,8,0.78
324,112,4,4,2.5,8.1,0.72
322,110,3,3,NA,8,0.7
320,103,3,3,3,7.7,0.64
316,102,3,2,3,7.4,0.64
298,99,2,4,2,7.6,0.46
300,99,NA,NA,2,6.8,0.36
311,104,2,2,2,8.3,0.42
309,100,2,NA,NA,8.1,0.48
307,101,3,4,3,8.2,0.47
304,NA,2,3,3,8.2,0.54
315,107,NA,NA,3,8.5,0.56
325,111,3,3,3.5,8.7,0.52
325,112,4,3.5,3.5,8.92,0.55
327,114,3,3,3,9.02,0.61
316,107,2,3.5,3.5,8.64,0.57
NA,109,3,3.5,4,9.22,0.68
NA,115,4,4.5,4,9.16,0.78
332,118,5,5,5,NA,NA
336,112,5,5,5,9.76,0.96
321,111,5,5,5,9.45,0.93
314,NA,4,4.5,4,9.04,0.84
314,106,3,NA,5,8.9,NA
329,114,2,2,4,8.56,0.72
327,112,3,3,3,NA,0.74
301,99,2,3,2,8.22,0.64
296,95,2,3,2,7.54,0.44
294,93,1,1.5,2,7.36,0.46
312,105,3,2,3,8.02,0.5
340,120,4,5,5,NA,0.96
NA,110,5,5,4.5,9.22,0.92
NA,115,5,4,4.5,9.36,0.92
340,115,5,4.5,4.5,9.45,0.94
319,103,4,4.5,3.5,8.66,0.76
315,106,3,4.5,3.5,8.42,0.72
NA,107,2,3.5,3,8.28,0.66
314,108,3,4.5,3.5,8.14,NA
316,109,4,4.5,3.5,8.76,0.74
318,106,2,4,4,7.92,0.64
299,97,3,5,3.5,7.66,0.38
NA,98,NA,4,3,8.03,0.34
301,97,2,3,3,7.88,0.44
NA,99,3,2,2.5,7.66,0.36
NA,100,4,1.5,2.5,7.84,0.42
306,NA,2,3,3,8,0.48
331,120,3,4,4,8.96,0.86
332,119,4,5,4.5,9.24,0.9
323,113,3,4,NA,8.88,0.79
NA,107,NA,3.5,3.5,8.46,0.71
312,105,NA,2.5,NA,NA,0.64
314,106,2,4,NA,8.25,0.62
317,104,2,NA,4,8.47,0.57
326,112,3,3.5,3,9.05,0.74
316,110,3,4,4.5,8.78,0.69
329,111,4,4.5,4.5,9.18,0.87
338,117,4,3.5,4.5,9.46,0.91
331,116,5,5,5,9.38,0.93
304,103,NA,5,NA,8.64,0.68
305,NA,5,3,3,8.48,0.61
321,109,4,4,4,8.68,0.69
NA,107,3,3.5,3.5,8.34,0.62
320,110,2,4,3.5,8.56,0.72
311,105,3,3.5,3,8.45,0.59
310,106,NA,4.5,4.5,9.04,NA
299,102,3,4,3.5,8.62,0.56
290,104,4,2,2.5,7.46,0.45
296,99,2,NA,3.5,7.28,0.47
NA,NA,5,3,3.5,8.84,0.71
NA,NA,5,NA,NA,9.56,NA
334,119,5,NA,4.5,9.48,0.94
NA,106,4,1.5,2.5,8.36,0.57
308,108,NA,3.5,NA,8.22,NA
301,106,4,2.5,3,8.47,0.57
300,100,3,2,NA,8.66,0.64
323,113,3,4,3,9.32,0.85
319,112,3,2.5,2,8.71,0.78
326,112,3,3.5,3,9.1,0.84
333,118,5,5,5,9.35,0.92
339,114,5,NA,4.5,9.76,NA
303,105,5,NA,4.5,8.65,0.77
309,105,5,3.5,3.5,NA,0.71
323,112,5,4,4.5,8.78,0.79
333,113,5,4,4,9.28,0.89
NA,109,4,3.5,4,8.77,0.82
312,103,NA,5,4,8.45,0.76
316,100,2,1.5,NA,8.16,0.71
326,116,2,4.5,3,9.08,0.8
318,109,1,3.5,NA,9.12,0.78
329,110,2,4,3,9.15,0.84
332,118,2,4.5,3.5,9.36,0.9
331,115,5,4,3.5,9.44,0.92
340,120,4,4.5,4,9.92,0.97
325,112,2,3,NA,8.96,0.8
NA,113,2,2,2.5,8.64,0.81
315,105,3,2,2.5,8.48,0.75
326,114,3,NA,3,9.11,NA
339,116,4,4,3.5,9.8,0.96
311,106,2,3.5,3,8.26,0.79
334,114,4,4,4,9.43,0.93
332,NA,5,5,5,9.28,0.94
321,112,NA,NA,5,9.06,0.86
NA,105,3,3,4,8.75,0.79
326,108,3,3,3.5,8.89,NA
312,109,3,3,3,8.69,0.77
315,105,3,NA,2.5,8.34,0.7
309,104,2,2,2.5,8.26,0.65
306,106,2,2,2.5,8.14,0.61
297,100,1,1.5,2,7.9,0.52
NA,103,1,1.5,2,NA,0.57
298,99,1,1.5,3,7.46,0.53
318,109,NA,3,3,8.5,0.67
317,105,3,3.5,NA,8.56,0.68
329,111,NA,4.5,4,9.01,0.81
322,110,5,4.5,4,NA,0.78
NA,NA,3,3.5,5,8.33,NA
313,102,3,2,3,8.27,0.64
293,NA,2,2,4,NA,0.64
311,99,2,2.5,3,7.98,0.65
NA,101,NA,2.5,3.5,8.04,0.68
334,117,5,4,4.5,9.07,0.89
322,110,4,4,5,9.13,0.86
323,113,4,4,4.5,NA,NA
321,111,4,4,NA,8.97,0.87
320,111,4,4.5,3.5,8.87,NA
329,119,NA,4.5,NA,9.16,0.9
319,110,3,3.5,3.5,9.04,0.82
NA,108,3,2.5,3,8.12,0.72
NA,102,3,NA,3,8.27,0.73
300,104,3,3.5,3,8.16,0.71
305,107,2,NA,2.5,8.42,0.71
299,100,2,3,3.5,7.88,0.68
314,110,3,4,4,8.8,0.75
316,106,NA,2.5,NA,8.32,0.72
327,113,NA,4.5,NA,9.11,0.89
317,107,3,3.5,NA,8.68,0.84
335,118,5,4.5,3.5,9.44,0.93
331,115,5,4.5,3.5,9.36,0.93
324,112,5,NA,5,9.08,0.88
324,111,5,4.5,4,9.16,0.9
323,NA,5,4,5,8.98,0.87
322,NA,5,4.5,4,8.94,0.86
336,NA,5,4.5,5,NA,0.94
316,109,3,3.5,3,8.76,0.77
307,107,2,3,3.5,NA,0.78
306,105,2,3,2.5,8.26,NA
310,106,NA,3.5,2.5,8.33,0.73
311,104,3,4.5,4.5,8.43,0.7
313,107,3,4,4.5,8.69,0.72
317,103,3,2.5,3,8.54,0.73
315,110,2,3.5,3,8.46,0.72
NA,120,5,4.5,4.5,9.91,0.97
334,120,5,4,5,9.87,0.97
298,105,3,NA,4,8.54,0.69
295,99,2,2.5,3,7.65,0.57
315,99,2,3.5,3,7.89,0.63
310,102,3,3.5,NA,8.02,0.66
305,106,2,3,3,8.16,0.64
NA,104,3,3.5,4,8.12,0.68
325,108,NA,NA,NA,9.06,0.79
328,NA,4,5,4,9.14,0.82
338,120,NA,5,5,9.66,0.95
333,119,NA,5,4.5,9.78,0.96
331,117,4,4.5,5,9.42,0.94
330,116,5,5,4.5,9.36,0.93
NA,112,4,4.5,4.5,NA,0.91
321,109,4,4,4,9.13,0.85
324,110,4,3,3.5,8.97,0.84
312,104,3,NA,3.5,8.42,0.74
NA,103,3,4,4,8.75,0.76
316,110,3,3.5,4,NA,0.75
324,113,4,4.5,4,8.79,0.76
308,109,NA,3,4,8.45,NA
NA,105,NA,3,NA,8.23,0.67
NA,99,NA,2.5,2.5,8.03,NA
306,110,2,3.5,4,NA,0.63
312,110,2,3.5,3,8.53,0.64
318,112,3,4,3.5,8.67,2.5
324,111,NA,3,3,9.01,0.82
313,104,3,4,4.5,8.65,0.73
319,106,3,NA,2.5,8.33,0.74
312,107,2,2.5,3.5,8.27,0.69
304,100,NA,2.5,3.5,8.07,0.64
330,113,5,5,4,9.31,0.91
326,111,5,NA,4,9.23,0.88
325,112,4,4,4.5,NA,0.85
329,114,5,4.5,5,9.19,0.86
310,104,NA,2,3.5,8.37,0.7
299,100,1,1.5,2,7.89,0.59
296,NA,1,2.5,3,7.68,0.6
NA,103,2,2.5,2,8.15,0.65
324,115,3,3.5,3,8.76,0.7
325,114,3,3.5,3,9.04,0.76
NA,107,2,2.5,4,8.56,0.63
NA,110,4,4,2.5,9.02,0.81
316,105,3,3,3.5,8.73,0.72
311,104,NA,2.5,3.5,8.48,0.71
324,110,3,NA,4,8.87,0.8
321,111,3,3.5,4,8.83,0.77
320,104,3,3,2.5,8.57,0.74
316,99,NA,2.5,3,9,0.7
318,100,2,2.5,NA,8.54,0.71
335,115,4,4.5,4.5,9.68,0.93
321,114,4,4,5,9.12,0.85
307,110,4,4,4.5,8.37,0.79
309,99,3,4,4,8.56,0.76
324,100,3,NA,5,8.64,0.78
326,102,4,5,5,8.76,0.77
331,NA,4,NA,4.5,9.34,0.9
327,108,5,5,3.5,9.13,0.87
312,104,3,3.5,4,8.09,0.71
308,103,2,2.5,NA,8.36,0.7
324,111,3,2.5,1.5,8.79,0.7
325,110,2,3,2.5,8.76,0.75
313,102,NA,2.5,NA,NA,0.71
312,105,2,2,2.5,8.45,0.72
314,107,3,3,NA,8.17,0.73
327,113,4,NA,5,9.14,0.83
308,108,4,4.5,5,8.34,0.77
306,NA,2,2.5,NA,8.22,0.72
299,96,2,1.5,2,7.86,0.54
294,95,1,1.5,1.5,7.64,0.49
NA,NA,1,NA,1.5,8.01,0.52
315,100,1,2,2.5,NA,0.58
322,110,3,3.5,3,8.96,0.78
329,113,5,5,4.5,9.45,0.89
320,101,2,2.5,3,8.62,0.7
308,103,2,3,3.5,8.49,0.66
304,102,2,3,4,8.73,0.67
311,102,3,4.5,4,8.64,0.68
317,110,3,4,4.5,9.11,0.8
312,106,3,NA,3.5,8.79,0.81
321,111,3,2.5,NA,8.9,0.8
340,112,4,5,4.5,9.66,0.94
331,116,NA,4,4,9.26,0.93
NA,118,5,4.5,4,9.19,0.92
324,114,5,5,4.5,9.08,0.89
314,104,4,5,5,NA,0.82
313,109,3,4,3.5,9,0.79
307,NA,2,2.5,3,7.65,0.58
300,102,2,1.5,2,7.87,0.56
302,99,2,1,2,7.97,0.56
312,98,1,NA,3,8.18,0.64
316,101,2,2.5,2,8.32,0.61
317,100,NA,3,2.5,8.57,0.68
310,NA,3,3.5,3.5,8.67,0.76
320,120,3,4,4.5,9.11,0.86
330,114,3,4.5,4.5,0,0.9
305,112,3,3,3.5,8.65,0.71
309,106,2,2.5,2.5,8,0.62
319,108,2,2.5,3,8.76,0.66
NA,105,2,3,3,8.45,0.65
323,107,NA,3.5,3.5,NA,0.73
313,106,2,2.5,2,8.43,0.62
321,109,3,NA,3.5,NA,0.74
NA,110,3,NA,3.5,9.1,0.79
325,112,4,4,4,9,0.8
312,108,3,3.5,3,8.53,0.69
308,110,NA,3.5,NA,8.6,0.7
320,NA,3,3,3.5,-4,NA
328,108,4,NA,4,9.18,0.84
311,107,4,4.5,4.5,9,NA
301,100,3,3.5,3,8.04,NA
305,105,2,3,4,8.13,0.66
308,104,2,2.5,3,8.07,0.65
298,101,2,1.5,2,7.86,NA
300,99,1,1,2.5,8.01,NA
324,NA,3,2.5,2,8.8,0.79
327,NA,4,3.5,3,8.69,0.8
317,106,3,4,3.5,8.5,0.75
NA,104,3,4,4,8.44,0.73
314,107,NA,2.5,4,8.27,0.72
NA,102,2,2,2.5,8.18,0.62
315,104,3,3,2.5,8.33,-1
NA,116,3,3.5,4,9.14,0.81
299,100,3,2,2,8.02,0.63
295,NA,2,NA,2,7.86,NA
324,112,4,4,3.5,8.77,0.8
297,96,2,2.5,1.5,7.89,0.43
327,113,3,3.5,3,8.66,0.8
NA,105,2,3,NA,8.12,0.73
308,106,3,3.5,2.5,NA,0.75
319,108,3,3,3.5,8.54,0.71
312,107,4,4.5,4,8.65,NA
325,111,4,4,4.5,2,NA
319,NA,3,3,2.5,8.79,0.72
332,118,5,5,5,9.47,0.94
323,108,5,4,4,8.74,0.81
324,107,5,3.5,4,8.66,0.81
312,107,3,3,3,8.46,0.75
326,110,3,3.5,3.5,8.76,0.79
308,NA,3,3,3,8.24,0.58
305,103,2,2.5,3.5,8.13,0.59
295,96,2,1.5,2,7.34,0.47
316,98,1,NA,2,7.43,0.49
NA,97,2,1.5,2,7.64,0.47
299,94,1,NA,1,7.34,0.42
302,99,1,2,2,NA,0.57
313,101,3,2.5,3,8.04,NA
318,107,3,NA,3.5,8.27,NA
325,110,NA,3.5,NA,8.67,0
303,100,2,3,3.5,8.06,0.64
300,102,3,3.5,2.5,8.17,NA
297,98,2,2.5,NA,7.67,0.59
317,106,2,NA,3.5,8.12,0.73
327,109,3,3.5,4,8.77,0.79
301,104,2,3.5,3.5,7.89,0.68
314,105,2,2.5,2,7.64,0.7
321,107,NA,2,1.5,NA,0.81
322,110,3,4,5,8.64,0.85
NA,116,4,4,3.5,9.54,0.93
338,115,5,4.5,5,9.23,0.91
306,103,2,2.5,3,8.36,0.69
313,102,NA,3.5,4,8.9,0.77
330,114,4,4.5,NA,9.17,2
320,104,3,3.5,4.5,8.34,0.74
311,98,1,1,2.5,7.46,0.57
298,92,1,2,2,7.88,0.51
301,98,1,NA,3,8.03,0.67
310,103,NA,2.5,2.5,8.24,0.72
324,NA,3,3.5,3,9.22,0.89
336,NA,NA,4.5,4,9.62,0.95
321,109,3,NA,3,NA,0.79
315,105,NA,2,2.5,7.65,0.39
304,101,2,2,2.5,7.66,0.38
297,NA,2,NA,NA,NA,0.34
NA,100,1,1.5,NA,7.56,0.47
303,98,1,2,2.5,NA,0.56
311,99,1,2.5,3,8.43,0.71
NA,104,3,3.5,4,8.84,0.78
319,105,3,3,3.5,8.67,0.73
NA,110,4,4.5,4,9.15,0.82
300,100,3,3,3.5,8.26,0.62
340,NA,NA,NA,5,9.74,0.96
335,117,5,5,5,9.82,0.96
302,101,2,2.5,3.5,7.96,0.46
307,105,2,2,3.5,NA,0.53
296,97,2,1.5,2,7.8,0.49
320,108,3,3.5,4,8.44,0.76
314,102,2,2,2.5,8.24,0.64
318,106,3,2,3,8.65,0.71
326,112,4,4,3.5,NA,0.84
317,104,NA,3,3,8.76,0.77
329,111,4,4.5,4,20,0.89
324,110,3,3.5,NA,9.04,0.82
325,NA,3,3,3.5,9.11,0.84
330,116,4,5,4.5,9.45,0.91
312,103,3,3.5,4,NA,0.67
333,117,NA,5,NA,9.66,0.95
